,Names,Loction,No of Courses,Entrance Exam,Ratings,fee,No of Seats
431,Avanthi Institute of Engineering and Technology,Visakhapatnam,1, APICET ,3.0,70000,120
432,Parvathaneni Brahmayya Siddhartha College of Arts and Science,Vijayawada,1, APICET ,4.0,132000,60
433,Sri Vasavi Engineering College,West Godavari,1, APICET ,3.1,67000,120
434,"School of Management Studies, Jawaharlal Nehru Technological University, Hyderabad", Hyderabad,2, TSICET ,3.3,60000,80
435,Brindavan College of Engineering, Bangalore,1, Karnataka PGCET ,2.7,117000,30
436,Sir C R Reddy College of Engineering,West Godavari,1, APICET ,4.0,76000,60
437,Sushila Devi Bansal College of Technology,Indore,1, CMAT ,3.8,96600,60
438,NLU Jodhpur (NLUJ) - National Law University,Jodhpur,2, CAT ,4.3,306000,20
439,Symbiosis University of Applied Sciences,Indore,2, CAT ,4.2,1130000,120
440,Maratha Mandir’s Babasaheb Gawde Institute of Management Studies, Mumbai,1, CAT ,3.9,244000,150
441,KRCE - K Ramakrishnan College of Engineering,Tiruchirappalli,1, TANCET MBA ,2.8,35000,60
442,B.S.A. College of Engineering and Technology,Mathura,1, UPCET ,3.0,166000,120
443,Pratibha Institute of Business Management (Kamala Education Society's), Pune,1, CAT ,4.3,164000,180
444,Hierank Business School,Noida,2, CAT ,4.0,119000,120
445,Adikavi Nannaya University (AKNUDOA),Rajahmundry,2, APICET ,3.0,32600,96
446,AMC Engineering College, Bangalore,1, CAT ,1.3,500000,120
447,Athena School of Management, Mumbai,3, NMAT ,4.5,1350000,120
448,Aurora's Post Graduate College, Hyderabad,1, TSICET ,3.3,160000,150
449,Guru Nanak Institutions Technical Campus, Hyderabad,2, TSICET ,4.3,100000,240
450,Goel Group of Institutions,Lucknow,1, CAT ,4.8,119000,150
451,GD Goenka University,Gurgaon,17, CAT ,4.8,129000,120
452,Yashoda Technical Campus,Satara,1, CAT ,2.0,164000,60
453,Rabindranath Tagore University,Bhopal,3, AJEE ,3.2,50000,120
454,Chaudhary Charan Singh Haryana Agricultural University,Haryana - Other,2, CAT ,4.5,66000,28
455,Chaudhary Charan Singh National Institute of Agricultural Marketing,Jaipur,1, CAT ,4.9,606000,60
456,Mahatma Gandhi Central University,Bihar - Other,1, CUET-PG ,3.0,49200,50
457,Gangadhar Meher University,Sambalpur,2, CAT ,4.3,90000,120
458,Avanthi P.G. College, Hyderabad,1, TSICET ,4.8,100000,180
459,Malwa Institute of Technology,Indore,1, CAT ,2.3,105000,180
460,Vignan's Institute of Engineering for Women (VIEW Visakhapatnam),Visakhapatnam,1, APICET ,3.4,54000,120
461,Shri Gulabrao Deokar College Of Engineering,Jalgaon,1, CAT ,3.0,83000,60
462,R.M.K. Engineering College,Tamil Nadu - Other,1, TANCET MBA ,3.0,35000,60
463,"Delhi Technical Campus, Greater Noida",Greater Noida,1, CAT ,3.0,275000,60
464,Hirachand Nemchand College of Commerce (HNCC),Solapur,1, CAT ,4.0,244000,120
465,GL Bajaj Group of Institutions - GLBGI,Mathura,5, CAT ,4.3,170000,300
466,Madanapalle Institute of Technology and Science,Chittoor,2, APICET ,3.4,89000,420
467,"GITAM School of Business, Bengaluru", Bangalore,1, CAT ,3.2,600000,60
468,R.B Institute of Management Studies (RBIMS), Ahmedabad,2, CMAT ,5.0,142000,180
469,DRIEMS Group of Institutions,Cuttack,2, CAT ,3.0,120000,240
470,AURO University,Surat,3, CAT ,4.8,700000,45
471,"University of Engineering and Technology, Roorkee",Roorkee,1, CAT ,4.3,252999,120
472,Punjabi University,Patiala,10, CMAT ,3.9,141000,532
473,Andhra Loyola Institute of Engineering and Technology,Vijayawada,1, APICET ,2.7,90000,60
474,"University College of Engineering, Tiruchirappalli, Anna University",Tiruchirappalli,1, TANCET MBA ,4.4,35000,60
475,Chhatrapati Shahu Institute of Business Education and Research,Kolhapur,3, CAT ,3.8,192000,240
476,Dnyansagar Institute of Management and Research- DIMR, Pune,1, CAT ,4.0,208000,180
477,St. Joseph Engineering College - SJEC,Mangalore,2, Karnataka PGCET ,4.4,117000,120
478,NBN Sinhgad School of Management Studies, Pune,1, CAT ,4.6,184000,180
479,J.B. Institute of Engineering and Technology, Hyderabad,1, TSICET ,2.3,90000,60
480,Dr. Virendra Swarup Group of Institutions (VSGOI),Kanpur,2, CAT ,4.0,180000,60
481,Godavari Institute of Engineering and Technology,Rajahmundry,1, APICET ,3.2,88200,60
482,Berhampur University,Orissa - Other,2, OJEE ,3.8,60000,100
483,New Delhi Institute for Information Technology and Management, Delhi,1, CAT ,5.0,640000,120
484,Sree Vidyaniketan Institute of Management,Tirupati,1, APICET ,3.7,107000,180
485,Pravara Centre for Management Research and Development, Pune,1, CAT ,3.6,196000,120
486,Jaypee Business School,Noida,3, CAT ,3.7,400000,120
487,"Bharat Institute of Engineering and Technology, Telangana",Hyderabad,1, TSICET ,4.4,120000,60
488,Guru Nanak Institute of Management, Delhi,1, CAT ,2.8,469000,90
489,Patna University,Patna,6, CAT ,1.5,9000,285
490,Don Bosco Institute Of Management Studies And Computer Applications Mysore Road, Bangalore,1, Karnataka PGCET ,3.0,117000,120
491,"University Institute of Applied Management Sciences, Panjab University",Chandigarh,7, PU MET ,3.8,479000,200
492,BFIT Group of Institutions,Dehradun,1, CAT ,2.0,241000,60
493,Jeppiaar Engineering College, Chennai,1, TANCET MBA ,2.7,35000,60
494,Guru Nanak Institute of Hotel Management, Kolkata,1, GNIHM JET ,4.8,343000,60
495,S.E.A College of Engineering & Technology, Bangalore,1, Karnataka PGCET ,1.0,117000,60
496,K.C.College of Engineering and Management Studies and Research, Mumbai,1, CAT ,3.0,267000,60
497,"Indian Institute of Tourism and Travel Management, Noida",Noida,1, CAT ,4.1,191000,93
498,Nagpur Institute of Technology,Nagpur,1, CAT ,3.5,150000,60
499,S.K. Patel Institute of Management and Computer Studies,Gandhinagar,1, CAT ,4.7,222000,120
500,ASM Institute of Management and Computer Studies, Thane,4, CAT ,4.5,650000,120
501,Kashi Institute of Technology,Varanasi,1, CAT ,4.2,220000,90
502,Swami Vivekanand Group of Institutes,Patiala,1, CMAT ,4.0,160000,60
503,Indian Institute of Plantation Management, Bangalore,4, CAT ,3.1,108000,270
504,J.D.C. Bytco Institute of Management Studies and Research,Nashik,1, CAT ,3.7,240000,60
505,"Astral Institute of Technology and Research (Astral, Indore)",Indore,1, CAT ,5.0,80200,240
506,M.V.J. College of Engineering, Bangalore,1, CAT ,2.2,307000,60
507,St Xavier's Catholic College of Engineering,Nagercoil,1, TANCET MBA ,3.0,35000,60
508,Sadhu Vaswani Institute of Management Studies for Girls (SVIMS Pune), Pune,1, CAT ,3.6,240000,60
509,Tripura University,Agartala,2, CAT ,3.0,25100,160
510,NIT Jalandhar - Dr. B. R. Ambedkar National Institute of Technology,Jalandhar,2, CAT ,4.1,140000,38
511,SSVPS's Bapusaheb Shivajirao Deore College of Engineering (SSVPS's BSD COE),Dhule,1, CAT ,4.0,106000,60
512,Malla Reddy Institute Of Management (MRIM),Secunderabad,1, TSICET ,3.5,70000,240
513,Adani Institute of Infrastructure Management, Ahmedabad,4, CAT ,4.3,760000,120
514,Dhanalakshmi Srinivasan College Of Engineering And Technology - DSCET, Chennai,1, MAT ,1.8,35000,60
515,Pydah College of Engineering and Technology,Visakhapatnam,1, APICET ,2.9,54000,162
516,Lucknow Institute of Technology,Lucknow,1, UPCET ,4.0,119000,60
517,National Institute of Science and Technology,Brahmapur,2, CAT ,4.2,186000,120
518,Shri G. S. Institute of Technology and Science,Indore,2, CMAT ,3.4,150000,120
519,Central University of Odisha,Orissa - Other,1, CUET-PG ,3.1,4800,44
520,Myra School of Business,Mysore,1, CAT ,3.6,940000,120
521,St. Xaviers PG College, Hyderabad,1, TSICET ,5.0,78000,240
522,Gudlavalleru Engineering College,Andhra Pradesh - Other,1, APICET ,4.2,86000,60
523,Chaitanya University,Warangal,1, TSICET ,4.1,140000,240
524,CSAUK - Chandra Shekhar Azad University of Agriculture and Technology,Kanpur,1, ICAR AIEEA ,4.4,135000,60
525,Sinhgad Institute of Business Administration and Computer Application, Pune,1, CAT ,3.3,360000,60
526,Lakireddy Bali Reddy College of Engineering,Krishna,1, APICET ,4.2,89200,120
527,Saurashtra University,Rajkot,2, CMAT ,3.3,100000,90
528,Jain College of Engineering - JCE,Belgaum,1, Karnataka PGCET ,3.5,117000,120
529,Techno India University, Kolkata,20, CAT ,3.4,535000,30
530,Indira Gandhi Delhi Technical University for Women (IGDTUW), Delhi,2, JEE Main ,5.0,805000,30
531,FBS - Fisat Business School,Kochi,1, CAT ,3.8,430999,120
532,Palamuru University,Telangana-Other,1, TSICET ,4.2,53400,60
533,"University of Lucknow, Jankipuram Campus",Lucknow,5, LUMET ,3.3,324000,480
534,"Vivekanadha College of Engineering For Women, Vivekanandha Educational Institutions for Women",Namakkal,1, TANCET MBA ,4.4,35000,30
535,"Institute of Management and Information Technology, Biju Patnaik University of Technology",Cuttack,1, CAT ,3.0,65200,102
536,"Maharaja Institute of Technology, Mysore",Mysore,1, Karnataka PGCET ,2.5,117000,120
537,"Footwear Design and Development Institute, Noida",Noida,1, MAT ,3.9,484999,60
538,Moodlakatte Institute of Technology - MIT KUNDAPURA,Udupi,1, Karnataka PGCET ,4.0,117000,60
539,Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya University, Chennai,1, CAT ,3.2,250000,60
540,Gujarat Technological University, Ahmedabad,3, CAT ,4.0,50000,90
541,Sipna College of Engineering and Technology,Amravati,1, CAT ,3.5,174000,60
542,"Vishwa Vishwani Institute of Systems and Management, Hyderabad", Hyderabad,8, CAT ,3.5,140000,360
543,Adithya Institute of Technology - AIET,Coimbatore,1, TANCET MBA ,3.0,35000,60
544,RERF - Regent Education and Research Foundation, Kolkata,1, CAT ,4.2,375000,60
545,AAM Business School, Chennai,1, CAT ,4.4,399000,40
546,Parle Tilak Vidyalaya Association’s Institute of Management - PTVAIM, Mumbai,1, CAT ,3.9,314000,120
547,GKV - Gurukula Kangri Vishwavidyalaya,Haridwar,3, CAT ,3.8,190000,180
548,Central University of Jammu,Jammu,4, CAT ,4.3,18000,90
549,"Govt. P.G. College, Una",Una,2, CAT ,5.0,60000,120
550,"Unique Institute of Management (UIM, Pune)", Pune,1, CAT ,4.0,138000,180
551,Whistling Woods International, Mumbai,3, WWI Entrance Exam ,4.8,650000,70
552,Kingston Engineering College,Vellore,1, TANCET MBA ,3.0,35000,60
553,"Sri Venkateswara College of Engineering and Technology, Chittoor",Chittoor,1, APICET ,3.0,64200,120
554,North Eastern Regional Institute of Management,Guwahati,1, CAT ,3.7,335000,120
555,Rajarambapu Institute of Technology,Kolhapur,2, CAT ,4.3,190000,120
556,Smt. Radhikatai Pandav College of Engineering (SRPCE),Nagpur,1, CAT ,2.0,164000,60
557,Mount Zion College of Engineering (MZCE Pathanamthitta),Pathanamthitta,1, CAT ,3.5,200000,60
558,IIBM - Indian Institute of Business Management,Patna,2, CAT ,2.9,80000,45
559,IBMR - Institute of Business Management & Research, Kolkata,1, CMAT ,4.0,370000,30
560,"Garware Institute of Career Education and Development, University of Mumbai", Mumbai,2, Sports Management Admission Test (SMAT) ,4.5,409999,180
561,Professor Jayashankar Telangana State Agricultural University, Hyderabad,1, ICAR AIEEA ,3.0,32000,17
562,Guru Nanak Dev Engineering College,Ludhiana,1, CMAT ,3.0,165000,60
563,Lords Institute of Engineering and Technology, Hyderabad,1, TSICET ,3.0,90000,120
564,Global Institute of Management,Bhubaneswar,1, CAT ,4.0,170000,120
565,N R Institute of Business Management (NRIBM), Ahmedabad,3, CAT ,3.7,196000,300
566,Vaagdevi College of Engineering,Warangal,1, TSICET ,4.0,70000,300
567,Engineering Staff College of India - School of Post Graduate Studies (ESCI SPGS), Hyderabad,3, CAT ,4.2,430000,150
568,"Jerusalem College of Engineering, Chennai", Chennai,1, TANCET MBA ,3.0,35000,60
569,Trinity College of Engineering and Research, Pune,1, CAT ,4.0,192000,120
570,"Institute of Technology Management, Aligarh (ITM Aligarh)",Aligarh,1, UPCET ,5.0,119000,60
571,East Point Group of Institutions, Bangalore,2, CAT ,1.8,400000,360
572,"MIT Group of Institutes (Mahakal),  Ujjain",Ujjain,2, CMAT ,5.0,111000,240
573,Teri School of Advanced Studies (TSAS), Delhi,2, CAT ,3.4,1078000,60
574,Sree Chaitanya College of Engineering,Karimnagar,1, TSICET ,4.3,74000,120
575,Babu Banarasi Das National Institute of Technology and Management,Lucknow,1, UPCET ,3.4,119000,120
576,Sunstone: Noida International University [NIU],Noida,11, CAT ,4.0,305000,660
577,"V. M. Patel Institute of Management, Ganpat University",Mehsana,1, CAT ,4.7,186000,120
578,"Birla Institute of Technology, Mesra - Lalpur Extension Center",Ranchi,1, CAT ,4.1,518000,120
579,Dr Virendra Swarup Institute of Computer Studies (VSICS),Kanpur,2, CAT ,4.0,119000,120
580,Dr. Rajendra Prasad Central Agricultural University,Bihar - Other,2, ICAR AIEEA ,5.0,160000,81
581,Management Education and Research Institute, Delhi,3, CAT ,3.4,560000,300
582,Sherwood College of Management,Lucknow,1, UPCET ,2.7,119000,120
583,ILAHIA College of Engineering and Technology,Kerala - Other,1, CAT ,5.0,905000,60
584,"Institute of Health Management Research, Bangalore", Bangalore,5, CAT ,4.2,450000,420
585,Trident Academy of Creative Technology,Bhubaneswar,1, OJEE ,3.0,196000,180
586,HKBK College of Management, Bangalore,1, CMAT ,4.5,375000,120
587,Siliguri Institute of Technology,Siliguri,1, MAT ,2.7,450000,60
588,LMCST: Lourdes Matha College of Science and Technology,Thiruvananthapuram,1, CAT ,3.5,229999,60
589,Oriental College of Management (OCM Bhopal),Bhopal,2, CMAT ,3.9,175000,300
590,Shree H.N.Shukla Group of Colleges,Rajkot,1, CAT ,4.0,64000,120
591,"Narayana Engineering College (NEC, Nellore)",Nellore,1, APICET ,2.7,71200,120
592,VNS Group of Institutions,Bhopal,1, CMAT ,4.0,120000,240
593,"IILM Academy of Higher Learning, Jaipur",Jaipur,1, CAT ,4.3,400000,60
594,MGU Kerala - Mahatma Gandhi University,Kottayam,2, CMAT ,4.2,10500,60
595,Baddi University of Emerging Sciences and Technology,Solan,2, CAT ,3.5,260000,60
596,Bengal College of Engineering and Technology,Durgapur,1, MAT ,3.0,256999,30
597,IMU Kochi,Kochi,2, IMUCET ,1.0,409999,60
598,Ramachandra College of Engineering,West Godavari,1, APICET ,4.2,54000,180
599,"Manipur Institute of Management Studies, Manipur University",Imphal,1, CMAT ,3.5,12000,63
600,Indira Gandhi National Tribal University,Madhya Pradesh - Other,2, CUET-PG ,4.0,10500,60
601,Bangalore Institute of Management Studies, Bangalore,3, CAT ,2.0,108000,180
602,SSIM-Sri Sukhmani Institute of Management, Delhi,1, CAT ,5.0,590000,60
603,Hi-Tech Institute of Engineering and Technology,Ghaziabad,1, UPCET ,3.5,119000,120
604,CDAC - Centre for Development of Advanced Computing, Pune,1, IPU CET ,3.0,150000,60
605,"Indukaka Ipcowala Institute of Management, Charotar University of Science and Technology",Anand,2, CAT ,4.0,244000,180
606,Chameli Devi Group of Institutions,Indore,3, CMAT ,4.0,103000,300
607,IEC College of Engineering and Technology,Greater Noida,1, CAT ,3.3,119000,60
608,"College of Arts and Commerce, Andhra University, Visakhapatnam",Visakhapatnam,6, APICET ,3.9,20000,290
609,DMI - Development Management Institute,Patna,1, CAT ,4.5,600000,60
610,TIT - Technocrates Institute of Technology,Bhopal,1, CMAT ,2.5,120000,780
611,MATS University,Raipur,1, CAT ,5.0,310000,120
612,"Quantum School of Business (Admission Office), Quantum University",Dehradun,2, CAT ,3.5,384000,60
613,St. Xavier’s College Bangalore,Karnataka - Other,5, CAT ,4.5,65000,450
614,Terna Global Business School,Navi Mumbai,5, CAT ,4.0,400000,300
615,"Zeal Institute Of Business Administration, Computer Application and Research", Pune,1, CAT ,4.5,162000,120
616,Mount Carmel College, Bangalore,4, Karnataka PGCET ,3.7,90300,60
617,Dr. Yashwant Singh Parmar University of Horticulture and Forestry,Himachal Pradesh - Other,2, CMAT ,3.1,18000,11
618,Central University of Kashmir,Srinagar,1, CMAT ,3.6,26500,30
619,Sree Narayana Gurukulam College Of Engineering - SNGCE,Ernakulum,1, CMAT ,4.5,322000,120
620,Nalla Narasimha Reddy Education Society’s Group of Institutions,Ghatkesar,1, TSICET ,3.6,80000,60
621,Sanketika Vidya Parishad Engineering College,Visakhapatnam,1, APICET ,2.9,70000,180
622,MVR College of Engineering and Technology,Andhra Pradesh - Other,1, APICET ,3.6,54000,90
623,"OPJU - OP Jindal University, Raigarh",Chhattisgarh - Other,1, CAT ,4.5,366000,60
624,NTPC School of Business,Noida,2, CAT ,4.3,1600000,60
625,ABIT - Ajay Binay Institute of Technology,Cuttack,1, OJEE ,3.5,150000,60
626,Nehru Institute of Engineering and Technology,Coimbatore,1, TANCET MBA ,5.0,35000,60
627,Conspi Academy of Management Studies,Thiruvananthapuram,1, CAT ,5.0,260000,60
628,"Bundelkhand University, Jhansi",Uttar Pradesh - Other,8, UPCET ,4.0,10600,365
629,DRK College of Engineering and Technology, Hyderabad,1, TSICET ,2.0,80000,60
630,KKR and KSR Institute of Technology and Sciences (KITS Guntur),Guntur,1, APICET ,3.0,58600,120
631,Bangalore University, Bangalore,1, Karnataka PGCET ,3.4,56000,180
632,Malla Reddy Engineering College And Management Sciences, Hyderabad,1, TSICET ,4.5,74000,180
633,Bapuji MBA College - BIET MBA,Davangere,1, Karnataka PGCET ,3.5,117000,60
634,Vizag Institute of Technology (VIT Visakhapatnam),Visakhapatnam,1, APICET ,2.0,62800,60
635,Pramod Ram Ujagar Tiwari Saket Institute Of Management, Mumbai,1, CAT ,3.0,160000,120
636,RIMS - Rourkela Institute of Management Studies,Rourkela,2, CAT ,3.7,190000,210
637,Samskruti College of Engineering and Technology,Ranga Reddy,1, TSICET ,3.4,80000,120
638,Kalasalingam Academy of Research and Education,Virudhunagar,2, CAT ,3.6,140000,138
639,University of Lucknow,Lucknow,10, CAT ,3.5,20000,540
640,BMIM - Bharata Mata Institute of Management,Kochi,1, CMAT ,4.4,280000,60
641,"BIMT, Gurgaon",Gurgaon,1, CAT ,4.0,325000,120
642,TimesPro - Bennett University,Greater Noida,2, CAT ,4.0,545000,240
643,Adhiparasakthi Engineering College,Kanchipuram,1, TANCET MBA ,2.0,35000,60
644,National Power Training Institute,Faridabad,1, CAT ,3.6,505000,120
645,Mar Athanasios College For Advanced Studies - MACFAST,Pathanamthitta,1, CAT ,4.2,340000,120
646,M.I.E.T. Engineering College,Tiruchirappalli,1, TANCET MBA ,4.3,35000,60
647,Chintamanrao Institute of Management Development and Research (CIMDR Maharashtra),Sangli,1, CAT ,5.0,210000,60
648,Inmantec Institutions,Ghaziabad,1, CAT ,3.5,213000,120
649,St. Mary's Group of Institutions, Hyderabad,6, TSICET ,4.0,54000,780
650,Modern Institute of Technology and Research Centre (MITRC),Alwar,1, CAT ,4.0,88000,60
651,Netaji Subhash Engineering College, Kolkata,1, MAT ,3.0,517000,30
652,"Birla Institute of Technology, Mesra - Noida Extension Center",Noida,1, CAT ,4.4,518000,30
653,Marwadi Education Foundation's Group of Institutions (MEFGI),Rajkot,1, CAT ,4.0,160000,240
654,Mahatma Phule Institute of Management and Computer Studies, Pune,1, CAT ,3.0,220000,120
655,Rajendra Mane College of Engineering and Technology (RMCET),Ratnagiri,2, CAT ,4.4,80000,120
656,Sphoorthy Engineering College, Hyderabad,1, TSICET ,3.3,100000,60
657,RIT - Rajeev Institute of Technology,Hassan,1, Karnataka PGCET ,1.0,117000,60
658,Sona College of Technology,Salem,1, TANCET MBA ,3.8,35000,180
659,SEC - Seacom Engineering College,Howrah,1, CAT ,2.0,200000,60
660,SVCE - Sri Venkateshwara College of Engineering, Bangalore,1, Karnataka PGCET ,5.0,117000,60
661,CARE Business School,Tiruchirappalli,1, CAT ,2.5,35000,60
662,"Annamacharya Institute of Technology and Sciences,Rajampet",Kadapa,2, APICET ,3.0,54000,300
663,"Institute of Management and Rural Development Administration, Bharati Vidyapeeth",Sangli,1, BMAT ,4.2,150000,60
664,Tumkur University,Tumkur,2, Karnataka PGCET ,4.0,96600,60
665,SIMS - Sanghvi Institute of Management and Science,Indore,2, CAT ,2.4,130000,540
666,Jankidevi Bajaj Institute of Management Studies - JDBIMS, Mumbai,7, CAT ,2.6,170000,320
667,Uma Krishna Shetty Institute of Management Studies and Research, Mumbai,1, CAT ,4.3,550000,60
668,Vignan's Nirula Institute of Technology and Science for Women,Guntur,1, APICET ,2.0,54000,120
669,Rayat Bahra University,Mohali,13, CAT ,2.8,65000,510
670,"Xavier School of Human Settlements, Xavier University Bhubaneswar",Bhubaneswar,1, CAT ,3.0,1220000,40
671,"St. George College of Management, Science and Nursing", Bangalore,1, Karnataka PGCET ,1.0,117000,120
672,TimesPro, Mumbai,5, CAT ,5.0,659000,120
673,Krantiguru Shyamji Krishna Verma Kachchh University,Bhuj,2, CAT ,4.0,75000,45
674,Assam Institute of Management(AIM- Assam),Guwahati,2, CAT ,4.5,247000,140
675,Sri Sankara Arts and Science College (SSASC),Kanchipuram,1, TANCET ,4.5,93200,60
676,Annamalai University,Tamil Nadu - Other,13, TANCET MBA ,4.6,35000,540
677,Nishitha Degree College,Nizamabad,1, TSICET ,4.7,80000,180
678,Visakha Institute of Engineering and Technology,Visakhapatnam,1, APICET ,3.7,58400,180
679,Guru Nanak Institute of Engineering and Technology,Nagpur,1, CAT ,3.7,180000,60
680,Pioneer Institute of Professional Studies,Indore,2, CAT ,4.8,110000,300
681,DMI College of Engineering, Chennai,1, TANCET MBA ,1.7,35000,60
682,Babu Banarasi Das Northern India Institute of Technology (BBDNIIT),Lucknow,1, UPCET ,3.0,119000,60
683,Sushila Devi Bansal College of Engineering,Indore,1, CMAT ,2.0,77200,60
684,"Institute of Technology and Management, Gorakhpur",Gorakhpur,1, UPCET ,4.5,132000,60
685,Arya College Jaipur,Jaipur,5, CAT ,4.0,115999,60
686,Pune District Education Association's College of Engineering, Pune,1, CAT ,2.0,196000,120
687,Meghnad Saha Institute of Technology, Kolkata,2, CAT ,3.7,517000,90
688,Kashmir University,Srinagar,4, CMAT ,2.9,11600,184
689,Himalayan School of Management Studies,Dehradun,1, CAT ,4.0,261000,90
690,I.K Gujral Punjab Technical University (PTU),Punjab - Other,4, CMAT ,3.8,60000,100
691,Holy Mary Institute of Technology & Science,Hyderabad,1, TSICET ,2.5,120000,60
692,EMPI Business School, Delhi,5, CAT ,4.0,775000,240
693,Indian Institute of Tourism and Travel Management (Gwalior),Gwalior,3, CAT ,3.8,186000,249
694,CSI Institute of PG Studies,Secunderabad,1, TSICET ,2.6,80000,360
695,Omega PG College, Hyderabad,1, TSICET ,3.5,64000,180
696,Arihant Institute of Management and Technology,Indore,3, CMAT ,5.0,103000,300
697,Angadi Institute of Technology and Management,Belgaum,1, Karnataka PGCET ,3.0,117000,60
698,Swami Vivekananda Institute of Technology,Secunderabad,3, TSICET ,3.0,84000,420
699,Anwar-Ul-Uloom College Of Business Management,Hyderabad,1, TSICET ,3.0,110000,300
700,Mahaveer Institute Of Science and Technology,Hyderabad,1, TSICET ,4.0,80000,60
701,College of Engineering Trivandrum,Thiruvananthapuram,1, CAT ,4.2,105000,120
702,Jagran Institute of Management,Kanpur,2, CAT ,3.7,219000,120
703,KVG College of Engineering,Sullia,1, Karnataka PGCET ,1.0,117000,60
704,"Institute of Co-operative and Corporate Management, Research and Training",Lucknow,1, UPCET ,4.0,167000,180
705,JVIT - Jnana Vikas Institute of Technology, Bangalore,1, Karnataka PGCET ,4.0,117000,60
706,Aravali College of Engineering and Management,Faridabad,1, CAT ,3.3,197000,120
707,Sinhgad Institutes - Sinhgad Management Institutes, Mumbai,1, CAT ,3.0,274000,120
708,Indian Institute of Tourism and Travel Management,Bhubaneswar,2, CAT ,3.3,186000,186
709,Radharaman Engineering College,Bhopal,1, CMAT ,4.5,74600,180
710,Kalyani Charitable Trust's K.R.Sapkal College of Management Studies,Nashik,1, CAT ,3.0,212000,120
711,"JNTUA College of Engineering, Ananthapuramu",Anantapur,3, APICET ,3.3,54000,120
712,"Khwaja Moinuddin Chishti Urdu, Arabi-Farsi University",Lucknow,1, CAT ,4.6,80500,60
713,"Srinivas Institute of Technology, Srinivas Group of Colleges",Mangalore,1, Karnataka PGCET ,4.4,117000,120
714,Bhilai Institute of Technology,Chhattisgarh - Other,1, CAT ,4.0,143000,120
715,"College of IT and Management Education, Biju Patnaik University of Technology",Bhubaneswar,1, CAT ,3.4,186000,180
716,Mangalam College of Engineering - MCE,Kottayam,1, CAT ,4.1,270000,180
717,"MIT Group of Institutions, Moradabad",Moradabad,1, CAT ,4.0,214000,30
718,"Bhagwan Mahavir College of Management, Bhagwan Mahavir University",Surat,2, CAT ,3.0,152000,240
719,KIMDS - Kejriwal Institute of Management and Development Studies,Ranchi,1, CAT ,5.0,470000,60
720,Shri Vaishnav Vidyapeeth Vishwavidyalaya,Indore,18, CAT ,4.0,149000,240
721,Aditya Group of Institutions, Bangalore,1, Karnataka PGCET ,3.0,117000,120
722,S.R.K. Institute Of Technology,Vijayawada,2, APICET ,2.8,82000,120
723,Sindhi Institute of Management - SIM, Bangalore,2, CAT ,4.0,117000,120
724,HMR Institute of Technology and Management,Delhi - Other,1, CAT ,2.8,218000,30
725,RITEE Group of Institutes,Raipur,2, CAT ,4.4,125000,180
726,Easa College of Engineering and Technology - EASA College Coimbatore,Coimbatore,1, TANCET MBA ,4.2,35000,60
727,KCE Society's Institute of Management and Research (IMR Jalgon),Jalgaon,3, CAT ,3.4,130000,270
728,Indraprasth Institute of Management,Gurgaon,1, CAT ,5.0,593000,60
729,"Avanthi Institute Of Engineering And Technology, Hayathnagar",Telangana-Other,1, TSICET ,4.0,70000,180
730,Deviprasad Goenka Management College of Media Studies, Mumbai,1, CAT ,2.0,645000,60
731,Sinhgad Institute of Business Management, Mumbai,1, CAT ,3.7,274000,120
732,BABA Institute of Technology and Sciences,Visakhapatnam,1, APICET ,3.5,54000,180
733,St. Pious X Degree and PG College for Women,Telangana-Other,1, TSICET ,2.5,80000,120
734,"Godavari Institute Of Management & Research, Jalgaon",Jalgaon,1, CAT ,3.9,120000,120
735,"Dr. Moonje Institute of Management and Computer Studies,Nashik",Nashik,1, CAT ,2.0,156000,120
736,V.M. Patel Institute of Management,Gujarat - Other,1, CAT ,4.5,152000,120
737,Uttam Group of Institutions,Agra,3, UPCET ,4.3,119000,300
738,"IILM University, Greater Noida",Greater Noida,7, CAT ,3.8,400000,240
739,Rustomjee Business School, Mumbai,2, CAT ,2.7,236000,120
740,Siddharth Institute of Engineering and Technology (SIETK),Andhra Pradesh - Other,1, APICET ,3.2,54400,120
741,Vemu Institute of Technology,Chittoor,1, APICET ,3.4,61000,120
742,Pailan College of Management and Technology - PCMT, Kolkata,1, MAT ,3.5,361000,30
