,Names,Loction,No of Courses,Entrance Exam,Ratings,fee,No of Seats
184,R.N.S. Institute of Technology, Bangalore,1, Karnataka PGCET ,3.5,117000,180
185,NITK Surathkal - National Institute of Technology,Mangalore,1, CAT ,4.0,200000,64
186,NIT Kurukshetra - National Institute of Technology,Kurukshetra,1, CAT ,4.0,140000,53
187,"ICFAI Business School (IBS), Bangalore", Bangalore,4, CAT ,3.9,1206000,733
188,AIMS Institute of Management Studies, Pune,2, CAT ,4.2,395000,180
189,"Institute for Future Education, Entrepreneurship and Leadership", Pune,1, CAT ,4.1,600000,120
190,SOA - Siksha 'O' Anusandhan University,Bhubaneswar,4, CAT ,4.2,250000,270
191,University of Kalyani, Kolkata,2, CAT ,4.4,70000,103
192,Nizam College, Hyderabad,1, TSICET ,2.6,54000,60
193,"ICFAI Business School, Gurgaon",Gurgaon,1, CAT ,4.0,909000,500
194,"Sinhgad Institute of Management (MBA), Pune", Pune,1, CAT ,3.4,256000,600
195,MVSR Engineering College,Hyderabad,1, TSICET ,3.5,130000,60
196,Panimalar Engineering College, Chennai,1, TANCET MBA ,4.2,35000,180
197,IPER - Institute of Professional Education and Research,Bhopal,1, CMAT ,4.3,199000,300
198,Madan Mohan Malviya University of Technology,Gorakhpur,1, CUET-PG ,2.6,202999,75
199,"Cambridge Institute of Technology, K R Puram", Bangalore,1, Karnataka PGCET ,4.3,500000,120
200,BV Raju Institute of Technology,Hyderabad,1, TSICET ,3.2,130000,60
201,NITTE Meenakshi Institute of Technology, Bangalore,1, Karnataka PGCET ,3.4,117000,120
202,CHRIST (Deemed to be University) - Delhi NCR Campus,Ghaziabad,2, CAT ,4.5,775000,240
203,SKIPS - St. Kabir Institute of Professional Studies, Ahmedabad,1, CAT ,4.2,508000,240
204,University of Mumbai [MU], Mumbai,2, CAT ,3.5,200000,120
205,"G H Raisoni Institute of Engineering and Technology, Nagpur",Nagpur,1, CAT ,4.5,223000,120
206,Prof. Ram Meghe Institute of Technology and Research,Amravati,1, CAT ,4.0,183000,120
207,Pune Business School, Pune,1, CAT ,4.9,550000,120
208,Loyola Academy Degree and PG College,Secunderabad,1, TSICET ,4.0,115999,120
209,"IndSearch Institute of Management Studies and Research, Bavdhan Campus", Pune,1, CAT ,4.2,216000,150
210,"Dr D Y Patil School of Management, Pune", Pune,1, CAT ,4.5,213000,120
211,"Jawaharlal Nehru Technological University, Kakinada",Kakinada,1, APICET ,4.0,54000,60
212,"Xavier Institute of Management and Entrepreneurship, Chennai", Chennai,1, CAT ,4.7,850000,120
213,Indore Institute of Management and Research,Indore,1, CMAT ,4.4,122000,180
214,IFIM College, Bangalore,1, CAT ,3.9,915000,180
215,Prin. N.G. Naralkar Institute of Career Development and Research, Pune,1, MAH CET ,4.7,260000,120
216,"D Y Patil University, Pune", Pune,2, CAT ,4.0,250000,120
217,RVR and JC College of Engineering,Guntur,1, APICET ,3.7,106000,120
218,Dr. Ambedkar Institute of Management Studies and Research,Nagpur,1, CAT ,4.2,167000,240
219,NIT Durgapur - National Institute of Technology,Durgapur,1, CAT ,3.7,150000,45
220,"Regional College of Management, Bangalore", Bangalore,3, CAT ,4.8,117000,240
221,B.K. School of Professional and Management Studies, Ahmedabad,20, CAT ,4.0,13000,668
222,"ICFAI Business School (IBS), Pune", Pune,1, CAT ,3.9,909000,460
223,Dr. D. Y. Patil Institute of Management and Research, Pune,2, CAT ,3.9,229999,240
224,CMR Technical Campus, Hyderabad,1, TSICET ,4.3,86000,180
225,Navrachana University,Vadodara,1, CAT ,4.3,218000,60
226,Institute of Insurance and Risk Management, Hyderabad,2, CAT ,4.6,800000,180
227,NIT Silchar - National Institute of Technology,Silchar,1, CAT ,4.2,160000,75
228,"Guru Nanak Institute of Technology, Telangana", Hyderabad,1, TSICET ,3.8,90000,60
229,"G.H. Raisoni College of Engineering, Nagpur",Nagpur,1, CAT ,3.2,240000,60
230,Atharva School of Business, Mumbai,2, CAT ,4.2,430000,180
231,"Symbiosis Institute of Management Studies, Symbiosis International, Pune", Pune,2, SNAP ,4.1,1050000,300
232,"NMIMS University, Hyderabad", Hyderabad,4, NMAT ,3.8,1007000,300
233,"Symbiosis Institute of Business Management, Symbiosis International, Nagpur",Nagpur,2, SNAP ,4.3,1000000,210
234,IIM Indore - Indian Institute of Management - Mumbai Campus,Navi Mumbai,1, CAT ,4.1,1610000,62
235,Narayana Business School, Ahmedabad,4, NBSAT ,4.4,710000,480
236,Dr. B.C. Roy Engineering College,Durgapur,1, CAT ,3.9,320000,60
237,PIET - Panipat Institute of Engineering and Technology,Panipat,1, CMAT ,4.4,183000,180
238,VIT Business School Chennai, Chennai,1, CAT ,4.1,697000,120
239,"A.V. College of Arts, Science and Commerce", Hyderabad,1, TSICET ,3.0,110000,60
240,"NMIMS University, Indore",Indore,3, NMAT ,4.3,1382000,180
241,TKR College of Engineering and Technology, Hyderabad,1, TSICET ,2.3,90000,60
242,Malla Reddy Engineering College,Secunderabad,1, TSICET ,3.2,90000,60
243,TAT - Trident Academy of Technology,Bhubaneswar,1, OJEE ,5.0,164000,60
244,"Lakshmi Narain College of Technology, Bhopal",Bhopal,2, CMAT ,3.9,110000,300
245,"School of Business, Public Policy and Social Entrepreneurship, Dr. B.R. Ambedkar University Delhi, Kashmere Gate Campus", Delhi,1, CMAT ,3.5,250999,53
246,"Aurora's Post Graduate College, Ramanthapur", Hyderabad,3, TSICET ,3.9,170000,480
247,"G H Raisoni Institute of Management and Research, Khaparheda Nagpur",Nagpur,1, CAT ,4.3,168000,180
248,Anna University - Coimbatore Regional Campus,Coimbatore,1, TANCET MBA ,3.2,35000,120
249,Firebird Institute of Research in Management (FIRM),Coimbatore,1, CAT ,4.5,530000,120
250,National Institute of Securities Markets,Raigad,1, CAT ,4.3,600000,120
251,Coimbatore Institute Of Engineering And Technology - CIET Coimbatore,Coimbatore,1, TANCET MBA ,4.0,35000,60
252,Velagapudi Ramakrishna Siddhartha Engineering College,Vijayawada,1, APICET ,3.9,130000,60
253,Tirpude Institute of Management Education,Nagpur,1, CAT ,4.2,231000,180
254,Shanti Business School, Ahmedabad,2, CAT ,4.3,715000,240
255,Global Academy of Technology, Bangalore,1, Karnataka PGCET ,5.0,117000,120
256,"Management Development Institute, Murshidabad",Murshidabad,1, CAT ,4.2,977000,180
257,Sir M. Visvesvaraya Institute of Technology, Bangalore,1, Karnataka PGCET ,3.3,117000,120
258,MITE - Mangalore Institute of Technology and Engineering,Mangalore,1, Karnataka PGCET ,2.5,117000,120
259,Institute of Industrial and Computer Management and Research, Pune,1, CAT ,4.0,575000,120
260,Banarsidas Chandiwala Institute of Professional Studies, Delhi,1, CAT ,3.5,218000,120
261,"HPU Business School, Himachal Pradesh University",Shimla,1, HPU MAT ,3.9,7900,120
262,Birla Global University,Bhubaneswar,2, CAT ,4.2,716000,180
263,Karnataka College of Management, Bangalore,1, CAT ,4.0,595000,120
264,GSSS Institute of Engineering and Technology for Women,Mysore,1, Karnataka PGCET ,5.0,117000,120
265,"Symbiosis School of Banking and Finance, Symbiosis International, Pune", Pune,1, SNAP ,3.0,1516000,90
266,Geethanjali College of Engineering and Technology,Ranga Reddy,1, TSICET ,3.5,84000,60
267,IMRT Business School,Lucknow,1, CAT ,3.7,240000,180
268,"Amrita School of Business, Amrita Vishwa Vidyapeetham - Kochi Campus",Kochi,1, CAT ,4.0,1050000,60
269,Sankara College of Science and Commerce,Coimbatore,1, MAT ,4.4,220000,120
270,FIEM - Future Institute of Engineering and Management, Kolkata,1, CMAT ,4.3,459999,60
271,USTM - University of Science & Technology Meghalaya,Shillong,1, CAT ,3.9,240000,120
